label,length,position,variable,class
State,2,1-2,state,1
Type of summary total code,1,3-3,type_of_gov,1
County code,3,4-6,county,1
Unit Identification Number,3,7-9,unit_identification_number,1
Supplement Code,3,10-12,supp_code,1
Sub Code,2,13-14,sub_code,1
FILLER,3,15-17,,1
Data Function (Item) Code,3,18-20,itemcode,1
Full-Time Employees,10,21-30,ftemp,2
FILLER,1,31-31,,1
Full-Time Employees Data Flag,1,32-32,fteemp,1
Full-Time Payroll,12,33-44,ftpay,2
FILLER,1,45-45,,1
Full-Time Payroll Data Flag,1,46-46,,1
Part-Time Employees,10,47-56,ptemp,2
FILLER,1,57-57,,1
Part-Time Employees Data Flag,1,58-58,,1
Part-Time Payroll,12,59-70,ptpay,2
FILLER,1,71-71,,1
Part-Time Payroll Data Flag,1,72-72,,1
Part-Time Hours,10,73-82,pthours,2
FILLER,1,83-83,,1
Part-Time Hours Data Flag,1,84-84,,1
Full-Time Equivalent Employees,10,85-94,fte,2
FILLER,1,95-95,,1
G-30 Designation,10,96-96,g30,1
